編號,行政區,設置地點,取締項目,速限speed,緯度,經度,固定式,轄區分局,取締行向
84,北區,,,50,120.6772978,24.15392474,否,,
85,北區,,,50,120.6744896,24.16292078,否,,
86,北區,,,50,120.6808728,24.15913877,否,,
87,北區,,,50,120.6866861,24.14787241,否,,
88,北區,,,50,120.6881218,24.15100033,否,,
89,北區,,,50,120.6944054,24.15991206,否,,
90,北區,,,50,120.6842862,24.15412079,否,,
91,東區,,,50,120.69959,24.15011,否,,
92,南區,,,50,120.66067,24.11067,否,,
93,南區,,,50,120.65931,24.1119,否,,
94,南區,,,50,120.6606,24.12608,否,,
95,南區,,,50,120.66092,24.1263,否,,
96,南區,,,50,120.6473,24.11929,否,,
97,南區,,,50,120.6473,24.11929,否,,
98,東區,,,50,120.7050491,24.12803837,否,,
99,東區,,,50,120.70423,24.12701,否,,
100,東區,,,50,120.70022,24.13213,否,,
101,東區,,,50,120.69982,24.13732,否,,
102,南區,,,50,120.66011,24.12043,否,,
103,南區,,,50,120.66081,24.11034,否,,
104,東區,,,50,120.6979855,24.14743896,否,,
105,東區,,,50,120.6958024,24.13440197,否,,
106,南區,,,50,120.6673193,24.11918438,否,,
107,南屯區,,,40,120.589013,24.159846,否,,
108,南屯區,,,50,120.630093,24.127477,否,,
109,南屯區,,,50,120.625563,24.131157,否,,
110,南屯區,,,50,120.626213,24.130477,否,,
111,南屯區,,,50,120.625273,24.131546,否,,
112,南屯區,,,50,120.646822,24.145984,否,,
113,南屯區,,,50,120.646596,24.145993,否,,
114,南屯區,,,50,120.649766,24.13996,否,,
115,南屯區,,,50,120.625264,24.132543,否,,
116,南屯區,,,50,120.605492,24.138984,否,,
117,南屯區,,,50,120.611745,24.135906,否,,
118,南屯區,,,50,120.638274,24.118503,否,,
119,南屯區,,,50,120.636439,24.121166,否,,
120,南屯區,,,50,120.634918,24.12262,否,,
121,南屯區,,,50,120.637647,24.119911,否,,
122,南屯區,,,50,120.636437,24.121136,否,,
123,南屯區,,,50,120.623883,24.153607,否,,
124,南屯區,,,50,120.647072,24.124549,否,,
125,北屯區,,,50,120.7220455,24.18789984,否,,
126,北屯區,,,50,120.7238144,24.18133854,否,,
127,北屯區,,,50,120.6627321,24.18762754,否,,
128,北屯區,,,50,120.6598616,24.18978173,否,,
129,北屯區,,,50,120.6737363,24.19020216,否,,
130,北屯區,,,50,120.6868185,24.20403752,否,,
131,北屯區,,,50,120.7639728,24.19874266,否,,
132,北屯區,,,50,120.7532185,24.19961371,否,,
133,北屯區,,,40,120.724753,24.16153486,否,,
134,北屯區,,,50,120.6778702,24.17358801,否,,
135,北屯區,,,50,120.6992477,24.17715549,否,,
136,北屯區,,,50,120.7057661,24.18241121,否,,
137,北屯區,,,30,120.6605128,24.17804713,否,,
138,北屯區,,,40,120.7315144,24.16147409,否,,
139,北屯區,,,50,120.7307422,24.17754586,否,,
140,北屯區,,,50,120.7450467,24.18300169,否,,
141,北屯區,,,50,120.7710796,24.19940333,否,,
142,北屯區,,,50,120.6864594,24.18293784,否,,
143,北屯區,,,50,120.6982179,24.20107817,否,,
144,北屯區,,,50,120.6872543,24.19241099,否,,
145,北屯區,,,50,120.688325,24.18366584,否,,
146,北屯區,,,50,120.7078058,24.18244122,否,,
147,北屯區,,,50,120.670625,24.1754646,否,,
148,北屯區,,,50,120.6680655,24.17943784,否,,
149,北屯區,,,50,120.695675,24.17059816,否,,
150,北屯區,,,50,120.6941049,24.16439361,否,,
151,北屯區,,,60,120.7068041,24.16467799,否,,
152,北屯區,,,60,120.7174755,24.16394138,否,,
153,北屯區,,,50,120.6845361,24.18168604,否,,
154,北屯區,,,50,120.6772482,24.18537069,否,,
155,北屯區,,,50,120.6713128,24.19359624,否,,
156,北屯區,,,50,120.7354983,24.17760716,否,,
157,北屯區,,,50,120.7699937,24.19758921,否,,
158,北屯區,,,50,120.6895746,24.17164378,否,,
159,北屯區,,,50,120.7462417,24.19132011,否,,
160,北屯區,,,50,120.6917466,24.20173115,否,,
161,北屯區,,,50,120.7206569,24.16793693,否,,
162,北屯區,,,50,120.7205448,24.17408837,否,,
163,北屯區,,,50,120.6691376,24.1738583,否,,
164,北屯區,,,30,120.6604175,24.17808727,否,,
165,北屯區,,,50,120.6817197,24.19792682,否,,
166,北屯區,,,50,120.6830474,24.19787582,否,,
167,北屯區,,,50,120.7267593,24.17639528,否,,
168,北屯區,,,50,120.7001664,24.17751308,否,,
169,北屯區,,,50,120.698337,24.20023085,否,,
170,北屯區,,,50,120.6982608,24.20106838,否,,
171,北屯區,,,50,120.7025033,24.18229772,否,,
172,北屯區,,,50,120.6924081,24.1712431,否,,
173,北屯區,,,50,120.7097034,24.16979898,否,,
174,北屯區,,,50,120.6999698,24.1625114,否,,
175,北屯區,,,50,120.7009563,24.16019074,否,,
176,北屯區,,,50,120.7180567,24.19055543,否,,
177,北屯區,,,50,120.7197617,24.17968847,否,,
178,北屯區,,,50,120.7186882,24.17041447,否,,
179,北屯區,,,50,120.6723115,24.17428046,否,,
180,北屯區,,,50,120.6586357,24.18004414,否,,
181,北屯區,,,50,120.6577806,24.18751695,否,,
182,北屯區,,,50,120.662455,24.18680843,否,,
183,北屯區,,,50,120.6617014,24.18501978,否,,
184,北屯區,,,50,120.6631675,24.18528443,否,,
185,北屯區,,,50,120.6859337,24.18285954,否,,
186,北屯區,,,50,120.6862341,24.18934289,否,,
187,北屯區,,,50,120.6865122,24.1997191,否,,
188,北屯區,,,50,120.6908628,24.19780292,否,,
189,北屯區,,,50,120.6982501,24.20113688,否,,
190,北屯區,,,50,120.679007,24.1835788,否,,
191,北屯區,,,50,120.688757,24.1721435,否,,
192,北屯區,,,50,120.6862892,24.1724233,否,,
193,北屯區,,,50,120.6749748,24.17410731,否,,
194,北屯區,,,50,120.680991,24.17265909,否,,
195,北屯區,,,50,120.6868392,24.17183859,否,,
196,北屯區,,,50,120.6953334,24.17130348,否,,
197,北屯區,,,50,120.6920324,24.17177158,否,,
198,北屯區,,,50,120.7019376,24.18338274,否,,
199,北屯區,,,50,120.710642,24.1917905,否,,
200,北屯區,,,50,120.7455747,24.18867045,否,,
201,北屯區,,,50,120.7279308,24.17699177,否,,
202,北屯區,,,50,120.7098734,24.17195105,否,,
203,北屯區,,,50,120.6996908,24.16244288,否,,
204,北屯區,,,50,120.6767422,24.17861853,否,,
205,北屯區,,,50,120.6769951,24.17941958,否,,
206,北屯區,,,50,120.6766825,24.17767947,否,,
207,北屯區,,,50,120.6773503,24.18297321,否,,
208,北屯區,,,50,120.6751984,24.18331842,否,,
209,北屯區,,,50,120.6722031,24.19327366,否,,
210,北屯區,,,50,120.6924284,24.19301661,否,,
211,北屯區,,,50,120.6905616,24.19281109,否,,
212,北屯區,,,50,120.6904864,24.18827984,否,,
213,北屯區,,,50,120.6904113,24.18687052,否,,
214,北屯區,,,50,120.6822769,24.18469938,否,,
215,北屯區,,,50,120.6816646,24.17798714,否,,
216,北屯區,,,50,120.6819436,24.17930847,否,,
217,北屯區,,,50,120.6819114,24.1804634,否,,
218,北屯區,,,50,120.6819757,24.18182385,否,,
219,北屯區,,,50,120.6822225,24.18692298,否,,
220,北屯區,,,50,120.6822118,24.18555279,否,,
221,北屯區,,,50,120.7073525,24.18776739,否,,
222,北屯區,,,50,120.6855901,24.17453907,否,,
223,北屯區,,,50,120.6828869,24.17327076,否,,
224,北屯區,,,50,120.6680755,24.17868388,否,,
225,北屯區,,,50,120.7109758,24.1910794,否,,
226,北屯區,,,50,120.7111475,24.19080537,否,,
227,北屯區,,,50,120.6937804,24.16397433,否,,
228,北屯區,,,50,120.7012105,24.17971915,否,,
229,北屯區,,,60,120.6868131,24.20360534,否,,
230,北屯區,,,50,120.7182315,24.18261896,否,,
231,西屯區,,,50,120.656445,24.189946,否,,
232,西屯區,,,40,120.639995,24.168729,否,,
233,西屯區,,,50,120.6566031,24.17002902,否,,
234,西屯區,,,50,120.6574283,24.17002513,否,,
235,西屯區,,,50,120.6404998,24.19016322,否,,
236,西屯區,,,50,120.593812,24.17840077,否,,
237,南屯區,,,50,120.5927167,24.1792354,否,,
238,南屯區,,,50,120.602592,24.1593,否,,
239,西屯區,,,50,120.648302,24.160345,否,,
240,西屯區,,,40,120.648742,24.162777,否,,
241,西屯區,,,60,120.62728,24.159633,否,,
242,西屯區,,,40,120.634986,24.172413,否,,
243,西屯區,,,60,120.592354,24.191792,否,,
244,西屯區,,,40,120.626252,24.177409,否,,
245,西屯區,,,50,120.599228,24.192028,否,,
246,西屯區,,,50,120.656098,24.192186,否,,
247,西屯區,,,50,120.652024,24.185885,否,,
248,西屯區,,,60,120.632862,24.204657,否,,
249,西屯區,,,50,120.60775,24.195571,否,,
250,西屯區,,,50,120.628733,24.180937,否,,
251,西屯區,,,50,120.6289529,24.17627904,否,,
252,豐原區,,,50,120.754385,24.274042,否,,
253,豐原區,,,40,120.751999,24.260703,否,,
254,豐原區,,,50,120.747327,24.269351,否,,
255,豐原區,,,60,120.713603,24.243538,否,,
256,豐原區,,,50,120.724045,24.221223,否,,
257,豐原區,,,60,120.711939,24.23686,否,,
258,豐原區,,,60,120.727639,24.249508,否,,
259,豐原區,,,60,120.703454,24.253323,否,,
260,豐原區,,,50,120.711879,24.267632,否,,
261,豐原區,,,50,120.724702,24.272673,否,,
262,豐原區,,,60,120.731158,24.244893,否,,
263,豐原區,,,50,120.727639,24.249508,否,,
264,神岡區,,,60,120.690748,24.22938,否,,
265,神岡區,,,60,120.675554,24.241511,否,,
266,神岡區,,,50,120.645816,24.255455,否,,
267,神岡區,,,50,120.64216,24.285955,否,,
268,神岡區,,,40,120.697561,24.27934,否,,
269,大雅區,,,50,120.6134407,24.22963875,否,,
270,大雅區,,,50,120.6138846,24.23387428,否,,
271,大雅區,,,50,120.6456555,24.21156804,否,,
272,大雅區,,,60,120.6607227,24.23205466,否,,
273,大雅區,,,50,120.6338912,24.24339214,否,,
274,大雅區,,,50,120.6592699,24.21996211,否,,
275,大雅區,,,60,120.6549994,24.22094164,否,,
276,大雅區,,,50,120.629435,24.225924,否,,
277,大雅區,,,50,120.672108,24.228911,否,,
278,大雅區,,,50,120.604026,24.226806,否,,
279,潭子區,,,50,120.6801479,24.21580855,否,,
280,潭子區,,,50,120.6818621,24.21605467,否,,
281,潭子區,,,40,120.7158729,24.21322865,否,,
282,潭子區,,,40,120.7161812,24.21441836,否,,
283,潭子區,,,40,120.7158729,24.21322865,否,,
284,潭子區,,,40,120.7166642,24.21150555,否,,
285,潭子區,,,60,120.7127727,24.22135635,否,,
286,潭子區,,,60,120.7128741,24.21946939,否,,
287,潭子區,,,60,120.7128741,24.21946939,否,,
288,潭子區,,,50,120.7226214,24.20296085,否,,
289,潭子區,,,50,120.7238547,24.22033024,否,,
290,霧峰區,,,60,120.695796,24.055746,否,,
291,霧峰區,,,40,120.66298,24.06312,否,,
292,霧峰區,,,40,120.66293,24.06312,否,,
293,霧峰區,,,40,120.66756,24.04583,否,,
294,霧峰區,,,40,120.667231,24.060034,否,,
295,霧峰區,,,60,120.696218,24.018882,否,,
296,霧峰區,,,60,120.696555,24.029992,否,,
297,霧峰區,,,60,120.688458,24.035242,否,,
298,霧峰區,,,40,120.677421,24.03974,否,,
299,霧峰區,,,50,120.7065678,24.0764491,否,,
300,霧峰區,,,50,120.7034854,24.07608942,否,,
301,大里區,,,40,120.677389,24.086675,否,,
302,大里區,,,40,120.667372,24.083448,否,,
303,大里區,,,50,120.666908,24.08349,否,,
304,大里區,,,40,120.68387,24.09094,否,,
305,大里區,,,40,120.68186,24.09841,否,,
306,大里區,,,50,120.696215,24.086706,否,,
307,大里區,,,50,120.70085,24.12045,否,,
308,大里區,,,40,120.69445,24.10803,否,,
309,烏日區,,,50,120.5851752,24.11284131,否,,
310,烏日區,,,40,120.6513942,24.09129489,否,,
311,烏日區,,,50,120.6342711,24.11072298,否,,
312,烏日區,,,50,120.634041,24.1109265,否,,
313,烏日區,,,50,120.6317048,24.04504934,否,,
314,大肚區,,,60,120.5423939,24.16691977,否,,
315,大肚區,,,50,120.5688404,24.12188253,否,,
316,大肚區,,,50,120.5682203,24.12173106,否,,
317,大肚區,,,50,120.5725957,24.15256653,否,,
318,大肚區,,,50,120.5645795,24.15714022,否,,
319,龍井區,,,40,120.5207185,24.21440604,否,,
320,龍井區,,,40,120.5809775,24.19990694,否,,
321,龍井區,,,50,120.5469116,24.19844495,否,,
322,龍井區,,,70,120.5409349,24.21251015,否,,
323,清水區,,,70,120.55939,24.25837,否,,
324,清水區,,,40,120.59001,24.30798,否,,
325,清水區,,,50,120.58865,24.29372,否,,
326,清水區,,,70,120.60365,24.31089,否,,
327,清水區,,,50,120.59014,24.30794,否,,
328,清水區,,,60,120.54339,24.27776,否,,
329,清水區,,,60,120.54144,24.26542,否,,
330,清水區,,,70,120.55172,24.29324,否,,
331,梧棲區,,,60,120.52922,24.23561,否,,
332,梧棲區,,,60,120.53001,24.23677,否,,
333,梧棲區,,,70,120.55416,24.24877,否,,
334,梧棲區,,,60,120.53167,24.23897,否,,
335,梧棲區,,,40,120.53348,24.25074,否,,
336,梧棲區,,,70,120.51506,24.23158,否,,
337,梧棲區,,,40,120.52627,24.24175,否,,
338,沙鹿區,,,50,120.5542,24.21857,否,,
339,沙鹿區,,,40,120.57169,24.23464,否,,
340,沙鹿區,,,40,120.57124,24.23481,否,,
341,沙鹿區,,,40,120.58097,24.21131,否,,
342,大甲區,,,60,120.62665,24.358404,否,,
343,大甲區,,,60,120.65537,24.372029,否,,
344,大甲區,,,60,120.630597,24.392846,否,,
345,大甲區,,,50,120.639202,24.38995,否,,
346,大甲區,,,60,120.674656,24.36552,否,,
347,大安區,,,90,120.592561,24.380881,否,,
348,后里區,,,60,120.6769,24.290261,否,,
349,后里區,,,60,120.732401,24.342605,否,,
350,后里區,,,60,120.723508,24.290929,否,,
351,后里區,,,60,120.672762,24.317226,否,,
352,外埔區,,,70,120.646947,24.327852,否,,
353,太平區,,,50,120.729833,24.134972,否,,
354,太平區,,,40,120.729694,24.125139,否,,
355,太平區,,,40,120.723667,24.114361,否,,
356,太平區,,,40,120.718556,24.111028,否,,
357,太平區,,,40,120.70275,24.117444,否,,
358,太平區,,,50,120.702333,24.154361,否,,
359,太平區,,,50,120.703583,24.15675,否,,
360,太平區,,,50,120.701361,24.151167,否,,
361,太平區,,,50,120.704889,24.156972,否,,
362,太平區,,,50,120.719639,24.138667,否,,
363,太平區,,,50,120.70426,24.14819375,否,,
364,太平區,,,50,120.733734,24.157939,否,,
365,太平區,,,50,120.7268723,24.15392945,否,,
366,太平區,,,50,120.7369853,24.15689396,否,,
367,太平區,,,50,120.7205605,24.14032974,否,,
368,太平區,,,50,120.712111,24.146806,否,,
369,太平區,,,50,120.7105,24.138139,否,,
370,太平區,,,50,120.7049196,24.15704586,否,,
371,太平區,,,50,120.733357,24.152065,否,,
372,太平區,,,40,120.7186,24.10879,否,,
373,太平區,,,40,120.7311,24.12270078,否,,
374,太平區,,,40,120.713322,24.107139,否,,
375,太平區,,,40,120.731067,24.122679,否,,
376,太平區,,,50,120.735335,24.126983,否,,
377,太平區,,,40,120.759582,24.117007,否,,
378,太平區,,,40,120.769673,24.104308,否,,
379,太平區,,,40,120.771237,24.103569,否,,
380,太平區,,,40,120.777035,24.106209,否,,
381,太平區,,,30,120.763878,24.111883,否,,
382,東勢區,,,60,120.836,24.23313,否,,
383,東勢區,,,60,120.8208,24.27326,否,,
384,石岡區,,,50,120.77029,24.27929,否,,
385,東勢區,,,50,120.79442,24.28656,否,,
386,石岡區,,,50,120.77,24.27608,否,,
387,石岡區,,,70,120.76906,24.27658,否,,
388,石岡區,,,70,120.80791,24.26539,否,,
389,石岡區,,,70,120.8099,24.26445,否,,
390,石岡區,,,70,120.81616,24.26035,否,,
391,石岡區,,,70,120.796,24.27093,否,,
392,新社區,,,40,120.8514293,24.156221,否,,
393,新社區,,,40,120.8774435,24.1533922,否,,
394,新社區,,,40,120.8350883,24.1650322,否,,
395,新社區,,,40,120.8772314,24.1500732,否,,
396,新社區,,,40,120.8338409,24.1644513,否,,
397,東勢區,,,50,120.78918,24.28526,否,,
398,東勢區,,,60,120.8014,24.3013,否,,
399,新社區,,,50,120.80323,24.22535,否,,
400,新社區,,,40,120.8123,24.24163,否,,
401,新社區,,,50,120.80541,24.23739,否,,
402,新社區,,,50,120.80823,24.25257,否,,
403,新社區,,,50,120.79582,24.21248,否,,
404,新社區,,,50,120.78427,24.21129,否,,
405,新社區,,,50,120.80344,24.22399,否,,
406,新社區,,,50,120.80649,24.19456,否,,
407,新社區,,,50,120.80236,24.19801,否,,
408,東勢區,,,50,120.83982,24.18105,否,,
409,東勢區,,,60,120.83958,24.21206,否,,
410,東勢區,,,60,120.802728,24.298308,否,,
411,石岡區,,,70,120.7976,24.27004,否,,
412,東勢區,,,60,120.80193,24.29429,否,,
413,石岡區,,,70,120.7959,24.27093,否,,
414,石岡區,,,50,120.77208,24.27831,否,,
415,和平區,,,50,120.884135,24.175178,否,,
416,和平區,,,50,120.884113,24.175176,否,,
417,和平區,,,40,120.884112,24.175179,否,,
418,和平區,,,50,120.904894,24.169848,否,,
419,和平區,,,50,120.910653,24.178848,否,,
420,和平區,,,50,120.947123,24.166732,否,,
421,和平區,,,50,120.948274,24.166795,否,,
422,和平區,,,50,120.966243,24.172001,否,,
423,和平區,,,50,120.972439,24.174317,否,,
424,和平區,,,50,120.972364,24.174229,否,,
425,和平區,,,50,120.980094,24.180022,否,,
426,和平區,,,50,120.989536,24.187102,否,,
427,和平區,,,30,121.012848,24.208583,否,,
428,和平區,,,50,121.206642,24.258246,否,,
429,和平區,,,50,121.207426,24.258638,否,,
430,和平區,,,40,121.257521,24.256076,否,,
431,和平區,,,30,121.349378,24.389964,否,,
432,和平區,,,30,121.349378,24.389964,否,,
433,和平區,,,30,121.340044,24.361743,否,,
434,和平區,,,30,121.340044,24.361743,否,,
435,和平區,,,30,121.282993,24.303703,否,,
436,和平區,,,30,121.266574,24.283251,否,,
437,和平區,,,40,120.884113,24.175174,否,,
438,和平區,,,40,120.907641,24.290908,否,,
439,和平區,,,40,120.884132,24.175176,否,,
440,和平區,,,40,120.884123,24.175169,否,,
441,和平區,,,50,120.923644,24.317273,否,,
442,和平區,,,50,120.922171,24.313756,否,,
443,和平區,,,40,120.920836,24.323738,否,,
444,和平區,,,40,120.931122,24.334794,否,,
445,和平區,,,40,120.935878,24.341113,否,,
446,和平區,,,50,120.924688,24.297699,否,,
447,和平區,,,40,120.8842689,24.1746981,否,,
